name,mpg,cylinders,horse_power,weight,acceleration,year,country,displacement
Volkswagen Rabbit L,36.0,4,74,1980,15.3,1982,Europe,5.0
Mazda Glc Custom L,37.0,4,68,2025,18.2,1982,Japan,1.0
Mazda Glc Custom,31.0,4,68,1970,17.6,1982,Japan,1.0
Plymouth Horizon Miser,38.0,4,63,2125,14.7,1982,USA,5.0
Mercury Lynx L,36.0,4,70,2125,17.3,1982,USA,8.0
Nissan Stanza Xe,36.0,4,88,2160,14.5,1982,Japan,0.0
Honda Accord,36.0,4,75,2205,14.5,1982,Japan,7.0
Toyota Corolla,34.0,4,70,2245,16.9,1982,Japan,8.0
Honda Civic,38.0,4,67,1965,15.0,1982,Japan,1.0
Honda Civic (Auto),32.0,4,67,1965,15.7,1982,Japan,1.0
Datsun 310 Gx,38.0,4,67,1995,16.2,1982,Japan,1.0
Buick Century Limited,25.0,6,110,2945,16.4,1982,USA,1.0
Oldsmobile Cutlass Ciera (Diesel),38.0,6,85,3015,17.0,1982,USA,2.0
Chrysler Lebaron Medallion,26.0,4,92,2585,14.5,1982,USA,6.0
Ford Granada L,22.0,6,112,2835,14.7,1982,USA,2.0
Toyota Celica Gt,32.0,4,96,2665,13.9,1982,Japan,4.0
Dodge Charger 2.2,36.0,4,84,2370,13.0,1982,USA,5.0
Chevrolet Camaro,27.0,4,90,2950,17.3,1982,USA,1.0
Ford Mustang Gl,27.0,4,86,2790,15.6,1982,USA,0.0
Vw Pickup,44.0,4,52,2130,24.6,1982,Europe,7.0
Dodge Rampage,32.0,4,84,2295,11.6,1982,USA,5.0
Ford Ranger,28.0,4,79,2625,18.6,1982,USA,0.0
Chevy S-10,31.0,4,82,2720,19.4,1982,USA,9.0
